"%s was added to your Quote Request.","%s was added to your Quote Request."
"admin","admin"
"Are you sure you want to cancel this quote?","Are you sure you want to cancel this quote?"
"Cannot add the item to Quote Request.","Cannot add the item to Quote Request."
"Cannot update shopping cart.","Cannot update shopping cart."
"Comment: ","Comment:"
"Comment can not be blank","Comment can not be blank"
"Confirm and Checkout","Confirm and Checkout"
"Convert to Order","Convert to Order"
"Create New Quote","Create New Quote"
"Create New Quote Request","Create New Quote Request"
"Create New Quote Request for %s","Create New Quote Request for %s"
"Create New Quote Request for %s in %s","Create New Quote Request for %s in %s"
"Create New Quote Request for New Customer in %s","Create New Quote Request for New Customer in %s"
"Create New Status","Create New Status"
"customer","customer"
"Do you have a general remark with this Quote Request?","Do you have a general remark with this Quote Request?"
"General Request Remark","General Request Remark"
"Image","Image"
"Manage Quote Requests","Manage Quote Requests"
"My Quote","My Quote"
"My Quote (%s item)","My Quote (%s item)"
"My Quote (%s items)","My Quote (%s items)"
"My Quotes","My Quotes"
"Price Proposal","Price Proposal"
"Remark","Remark"
"Remarks with product","Remarks with product"
"Quote #","Quote #"
"Quote # %s","Quote # %s"
"Quote Comment","Quote Comment"
"Quote comment successfully added","Quote comment successfully added"
"Quote Request #%d","Quote Request #%d"
"Quote Request #%d Processed","Quote Request #%d Processed"
"Quote Request #%d Comment Added","Quote Request #%d Comment Added"
"Quote Request Accepted","Quote Request Accepted"
"Quote Request Date: %s","Quote Request Date: %s"
"Quote Request Declined","Quote Request Declined"
"Quote request email","Quote request email"
"Quote Request has been submitted. Please wait for your price proposal.","Quote Request has been submitted. Please wait for your price proposal."
"Quote request is not processed.","Quote request is not processed."
"Quote Request Rejected","Quote Request Rejected"
"Quote Requests","Quote Requests"
"Quote Request %s","Quote Request %s"
"Quote Request Submitted","Quote Request Submitted"
"Quote requests disabled for this product.","Quote requests disabled for this product."
"Quote Statuses","Quote Statuses"
"Request for Quote","Request for Quote"
"Request Status","Request Status"
"Sales Rep","Sales Rep"
"Shipping &amp; Handling price varies. Please select required quantity and checkout online to see applicable price.","Shipping &amp; Handling price varies. Please select required quantity and checkout online to see applicable price."
"Shipping address selection is not applicable","Shipping address selection is not applicable"
"Submit Quote","Submit Quote"
"Submit Quote Request","Submit Quote Request"
"Unable to create order from quote request.","Unable to create order from quote request."
"Update Status","Update Status"
"View Quote Request","View Quote Request"
"Wrong quote id.","Wrong quote id."
"You have placed no quote requests.","You have placed no quote requests."
"You will receive a Quote Request confirmation email with a link to track progress.","You will receive a Quote Request confirmation email with a link to track progress."
"Your quote request # is:","Your quote request # is:"
"Your Quote Request has been received","Your Quote Request has been received"
