"Home","Home"
"Go to Home Page","Aller à la page d'accueil"
"Return to %s","Retour à %s"
"News","Actualités"
"Cannot retrieve the news","L'actualité n'est pas trouvable"
"Category Manager","Gérer les catégories"
"Add Category","Ajouter une catégorie"
"Comment Manager","Gérer les commentaires"
"News Manager","Gérer les actualités"
"Add New Article","Ajouter une actualité"
"Save Category","Sauvegarder la catégorie"
"Delete Category","Supprimer la catégorie"
"Edit Category '%s'","Modifier la catégorie '%s'"
"ID","ID"
"Title","Titre"
"URL Key","Clé d'url"
"Sort Order","Ordre de tri"
"Action","Action"
"Edit","Modifier"
"Delete","Supprimer"
"Are you sure?","Etes-vous sûr ?"
"Category Information","Information de la catégorie"
"Keywords","Mots clés"
"Meta Keywords","Meta mots clés"
"Description","Description"
"Meta Description","Meta Description"
"Save Comment","Sauvegarder le commentaire"
"Delete Comment","Supprimer le commentaire"
"Edit Comment By '%s'","Modifier le commentaire par '%s'"
"Add Comment","Ajouter le commentaire"
"Comment","Commentaire"
"Newsitem Title","titre de l'actualité"
"User","Utilisateur"
"E-mail","E-mail"
"Created","Ajouté"
"Status","Statut"
"Action","Action"
"News Article","Actualité"
"Go to News Article","Aller à l'actualité"
"Approve","Approuver"
"Not Approve","Ne pas approuver"
"Comment Information","Information du commentaire"
"Email Address","Adresse email"
"Unapproved","Non approuvé"
"Approved","Approuvé"
"Save News Article","Sauvegarder l'actualité"
"Delete News Article","Supprimer l'actualité"
"Edit News Article '%s'","Modifier l'actualité '%s'"
"Add News Article","Ajouté l'actualité"
"Author","Auteur"
"Updated","Mis à jour"
"Enabled","Activé"
"Disabled","Désactivé"
"Comments","Commentaires"
"View comments","Voir les commentaires"
"Change status","Changer le statut"
"Main Information","Information principale"
"Additional Options","Options additionnelles"
"News Time Settings","Paramètre heure actualité"
"News Time","Heure actualité"
"Next to the Article will be stated current time","La prochaine actualité sera à l'heure courante"
"Publish From:","Publiée de:"
"Hours","heures"
"Minutes","Minutes"
"Publish Until:","Publiée depuis:"
"Meta Data","Meta Data"
"Advanced Post Options","Options avancées postées"
"Author name","Nom de l'auteur"
"News information","Information de l'actualité"
"Store View","Vue magasin"
"Category","Categorie"
"File","Fichier"
"Delete File","Supprimer le fichier"
"Link Name","Nom du lien"
"Add Tags","Ajouter des balises"
"Use Full Description Image","Utiliser l'image de la description complète"
"Image for Short Description","Image pour la description courte"
"Resize Image Height","Redimensionner la hauteur de l'image"
"Resize Image Width","Redimensionner la largeur de l'image"
"Show Image","Montrer l'image"
"Yes","Oui"
"No","Non"
"Short Description","Description courte"
"Image for Full Description","Image pour la description complète"
"Full Description","Description complète"
"Comments are not enabled.","Les commentaires ne sont pas activés."
"Your comment has been successfully sent. It will be displayed after approval by our admin","Votre commentaire a été envoyé avec succès. Il sera affiché après l'apporbation de l'administrateur."
"Thank you for adding a comment.","Merci pour avoir ajouté un commentaire."
"Page access error","Erreur d'accès à la page"
"Category was successfully saved","La catégorie a été sauvegardé avec succès."
"Category was successfully deleted","La catégorie a été supprimé avec succès."
"Comment was successfully saved","Le commentaire a été sauvegardé avec succès."
"Comment was successfully deleted","Le commentaire a été supprimé avec succès."
"News article does not exist","L'actualité n'existe pas"
"News Item with such url_key already exists","L'actualité avec cette url existe déjà"
"News Category with such url_key already exists","La catégorie de l'actualité avec cette url existe déjà"
"News article has been successfully saved","L'actualité a été sauvegardé avec succès"
"No items to save","Rien à sauvegardé"
"Platform version is not correct for News module!","La version de la plateforme n'est pas correcte pour le module !"
"Submit Comment","Envoyer le commentaire"
"Name","Nom"
"Email","Email"
"You must be logged in to post a comment.","Vous devez être connecté pour poster un commentaire."
"click here","cliquez ici"
"to log in","Se connecter"
"News Settings","Paramètre actualités"
"News Title","Titre de l'actualité"
"Route to News","Url des actualités"
"Show Breadcrumbs","Montrer le fil d'ariane"
"Articles per Page","Actualités par page"
"Articles Limit", "Limite des actualités"
"The number of articles displayed per page","Le nombre d'actualités affichées par page"
"Show Latest News Block","Montrer le bloc des dernières actualités"
"Articles in the Latest News Block","Actualités dans le bloc des dernières actualités"
"Set the number","Définir le nombre"
"Show Date of the News","Afficher la date de l'actualité"
"Show Time of the News","Afficher l'heure de l'actualité"
"Show Author of the News","Afficher l'auteur de l'actualité"
"Show Category of the News","Afficher la catégorie de l'actualité"
"default: view more","defaut: voir plus"
"Name of the Link","Nom du lien"
"example: view more","exemple: voir plus"
"Tags for the News","Balises de l'actualité"
"Enable Google Button for News","Activé le bouton Google pour l'actualité"
"Enable Twitter Button for News","Activé le bouton Twitter pour l'actualité"
"Enable Facebook Button for News","Activé le bouton Facebook pour l'actualité"
"Enable LinkedIn Button for News","Activé le bouton LinkedIn pour l'actualité"
"Default Meta Title","Titre meta par défault"
"Default Meta Keywords","Mots clés meta par défaut"
"Default Meta Description","Description meta par défaut"
"Short Description Image Max Width","Largeur max de l'image de la description courte"
"Short Description Image Max Height","Hauteur max de l'image de la description courte
"Full Description Image Max Width","Largeur max de l'image de la description complète"
"Full Description Image Max Height","hauteur max de l'image de la description complète"
"Resize always to Max Values","Toujours redimentionner la taille maximum"
"Send comments to email","Envoyer les commentaires par email"
"Templare email","Templare email"
"Should comments be pre-moderated","Les commentaires doivent être pré-modéré"
"Should user be logged in to leave a comment","Les utilisateurs doivent être connectés pour laisser un commentaire"
"Comments per Page","Commentaires par page"
"The number of comments displayed per page","Le nombre de commentaires affichés par page"
"RSS Feed","Flux RSS"
"Articles to show","Actualité à afficher"
"Number of articles to show in the RSS feed.","nombre d'articles à afficher dans le flux RSS."
"Enable Link ""View More""","Activé le lien ""Voir plus"""
"e.g. ""news"" will make the news accessible from domain.com/news. Should not contain slashes. Leave blank for default - news","e.g. ""news"" will make the news accessible from domain.com/news. Should not contain slashes. Leave blank for default - news"
"Leave blank to disable","Laissé blanc pour désactivé"
"Use comma for multiple words","Utiliser des virgules pour séparer les mots"
"e.g. domain.com/news/url_key","e.g. domain.com/news/url_key"
"e.g. Download attached document - default","e.g. Download attached document - default"
"(will not be displayed)","(ne sera pas affiché)"
"Posted on:","Posté le :"
"Leave a comment","Laisser un commentaire"
"Your question","Votre question"
"Comment(s)","Commentaire(s)"
"Read more","En savoir plus"
"read more","en savoir plus"
